ALGOUSDT,1D,1580601600.0,0.24760000,0.25990000,0.24210000,0.25280000,7346486.86000000,1580687999.999,1849446.68364600,18620,4256150.65000000,1071701.37805000,0
ALGOUSDT,1D,1580688000.0,0.25260000,0.27000000,0.24830000,0.26300000,8163398.23000000,1580774399.999,2098782.02262300,15468,4512217.20000000,1163058.07181400,0
ALGOUSDT,1D,1580774400.0,0.26320000,0.28790000,0.25880000,0.28040000,14258453.77000000,1580860799.999,3905990.54712700,20250,7268552.77000000,1985059.27825400,0
ALGOUSDT,1D,1580860800.0,0.28040000,0.28460000,0.26510000,0.27530000,8404671.66000000,1580947199.999,2305731.77159300,16453,3770594.83000000,1035483.44567500,0
ALGOUSDT,1D,1580947200.0,0.27560000,0.29330000,0.27280000,0.28840000,9719848.35000000,1581033599.999,2766285.61854700,16538,5118416.21000000,1458470.35256200,0
ALGOUSDT,1D,1581033600.0,0.28830000,0.32230000,0.28070000,0.31240000,15002159.30000000,1581119999.999,4541501.25232100,24949,7899519.65000000,2386288.60390500,0
ALGOUSDT,1D,1581120000.0,0.31230000,0.32100000,0.28960000,0.30740000,9163685.54000000,1581206399.999,2819303.93334300,14388,4419012.77000000,1363247.49025800,0
ALGOUSDT,1D,1581206400.0,0.30740000,0.34900000,0.30440000,0.34110000,12522893.32000000,1581292799.999,4122347.51488700,20577,6697574.92000000,2210845.25693000,0
ALGOUSDT,1D,1581292800.0,0.34060000,0.37610000,0.30750000,0.35850000,23135118.68100000,1581379199.999,7797763.01155680,30245,10514964.58100000,3541738.64619080,0
ALGOUSDT,1D,1581379200.0,0.35850000,0.38060000,0.34230000,0.36900000,13084937.62600000,1581465599.999,4727460.90534100,22091,6136887.60600000,2221215.49605700,0
ALGOUSDT,1D,1581465600.0,0.36870000,0.41310000,0.36150000,0.38760000,15167047.58200000,1581551999.999,5891527.23799740,32301,7699104.83600000,2991678.63136950,0
ALGOUSDT,1D,1581552000.0,0.38720000,0.40400000,0.34130000,0.34940000,15321763.09000000,1581638399.999,5707762.25445300,32805,6857102.08000000,2558758.67383700,0
ALGOUSDT,1D,1581638400.0,0.34970000,0.38450000,0.34190000,0.36640000,10364394.28000000,1581724799.999,3756590.13981300,21972,5177958.50000000,1881032.12106500,0
ALGOUSDT,1D,1581724800.0,0.36640000,0.39070000,0.32620000,0.33490000,12437050.38000000,1581811199.999,4454231.23705000,25673,5870247.96000000,2108959.53857100,0
