1578441600.0,0.23050000,0.23590000,0.22320000,0.22840000,2778452.83000000,1578527999999,639612.26546100,4029,1216503.55000000,279996.92009200,0
1578528000.0,0.22870000,0.22940000,0.22070000,0.22220000,2663278.29000000,1578614399999,597397.32676900,4742,1272843.90000000,285575.38791100,0
1578614400.0,0.22210000,0.22750000,0.22000000,0.22600000,2729349.13000000,1578700799999,611640.17519500,5941,1425468.53000000,319663.31434500,0
1578700800.0,0.22630000,0.23200000,0.22360000,0.22640000,2928833.69000000,1578787199999,664850.03328800,5945,1473757.92000000,334746.87050600,0
1578787200.0,0.22640000,0.23050000,0.22440000,0.22830000,2233290.74000000,1578873599999,509175.22730400,4487,1210800.40000000,276224.77554700,0
1578873600.0,0.22800000,0.23080000,0.22400000,0.22700000,1687930.16000000,1578959999999,382161.24507200,3420,783815.56000000,177665.38288600,0
1578960000.0,0.22720000,0.23500000,0.22400000,0.22960000,8617064.36000000,1579046399999,1977976.09102700,12225,4488159.50000000,1031026.80804900,0
1579046400.0,0.22950000,0.25790000,0.22580000,0.24740000,10164581.41000000,1579132799999,2475457.49179900,14817,5402852.87000000,1314320.18713200,0
1579132800.0,0.24740000,0.25100000,0.23160000,0.24140000,4695347.11000000,1579219199999,1125469.44451200,8256,2383002.86000000,571810.65392300,0
1579219200.0,0.24180000,0.26800000,0.23990000,0.26200000,8766477.69000000,1579305599999,2208887.57780900,15493,4522021.12000000,1137609.12724400,0
1579305600.0,0.26160000,0.26800000,0.24780000,0.25850000,5538823.72000000,1579391999999,1429333.96616300,10639,2521029.04000000,650665.62649500,0
1579392000.0,0.25830000,0.26110000,0.23300000,0.24000000,5044576.51000000,1579478399999,1239876.75566800,12455,2216643.13000000,545550.91839900,0
1579478400.0,0.24020000,0.24290000,0.23150000,0.23700000,2933922.34000000,1579564799999,697810.84131000,6463,1666137.93000000,396426.22252600,0
1579564800.0,0.23660000,0.25610000,0.23500000,0.24820000,8168296.52000000,1579651199999,2010324.13526700,17798,3918092.52000000,963888.16009600,0
